time_of_day,lane_A_cars,lane_B_cars,lane_C_cars,lane_D_cars,signal_duration_A,signal_duration_B
night,46,43,89,71,51,49
evening,173,136,43,58,55,45
night,20,17,84,63,54,46
morning,77,51,79,87,60,40
morning,32,31,83,95,50,50
night,20,27,79,79,42,58
night,50,25,94,22,66,34
morning,89,85,45,57,51,49
night,1,11,50,70,8,92
afternoon,111,118,37,52,48,52
evening,176,147,80,33,54,46
evening,121,115,32,69,51,49
evening,79,132,15,87,37,63
evening,110,173,72,48,38,62
night,34,3,28,59,91,9
morning,97,62,66,82,61,39
evening,71,83,29,12,46,54
night,0,12,98,23,0,100
afternoon,98,65,44,27,60,40
afternoon,105,83,30,23,55,45
afternoon,131,136,44,77,49,51
evening,112,132,70,47,45,55
night,7,25,24,99,21,79
night,37,23,59,87,61,39
night,3,24,56,47,11,89
afternoon,66,95,32,50,40,60
afternoon,108,75,12,41,59,41
evening,143,141,27,39,50,50
afternoon,85,139,41,53,37,63
afternoon,51,142,54,46,26,74
afternoon,105,130,62,50,44,56
night,47,16,12,30,74,26
afternoon,122,136,44,32,47,53
night,17,20,56,80,45,55
evening,118,124,89,43,48,52
evening,78,153,81,31,33,67
night,29,6,83,25,82,18
night,45,9,36,74,83,17
evening,139,64,30,48,68,32
afternoon,73,112,68,30,39,61
evening,91,127,54,98,41,59
morning,90,69,90,20,56,44
night,15,47,56,17,24,76
night,40,11,13,81,78,22
afternoon,148,64,44,58,69,31
night,18,5,44,58,78,22
night,17,26,42,88,39,61
night,45,4,96,49,91,9
evening,179,172,31,59,50,50
evening,144,118,85,11,54,46
night,7,50,61,70,12,88
afternoon,79,74,48,76,51,49
morning,85,81,17,78,51,49
night,39,40,60,25,49,51
afternoon,79,111,77,53,41,59
morning,84,66,20,17,56,44
morning,108,30,62,30,78,22
night,7,8,12,26,46,54
morning,143,58,52,60,71,29
evening,120,108,76,76,52,48
evening,70,165,65,13,29,71
morning,91,68,38,93,57,43
afternoon,114,80,90,96,58,42
night,19,25,72,62,43,57
afternoon,170,132,82,84,56,44
afternoon,93,113,88,15,45,55
afternoon,55,146,40,42,27,73
morning,35,98,91,90,26,74
afternoon,71,94,27,40,43,57
evening,82,117,37,98,41,59
evening,93,179,75,75,34,66
night,31,21,89,32,59,41
morning,131,112,45,57,53,47
afternoon,89,114,25,28,43,57
evening,183,179,92,94,50,50
evening,143,63,23,16,69,31
night,28,13,65,59,68,32
evening,99,159,53,64,38,62
night,37,25,82,63,59,41
evening,199,98,42,59,67,33
night,20,7,76,53,74,26
night,22,13,60,15,62,38
afternoon,65,114,72,85,36,64
morning,134,31,19,94,81,19
evening,112,138,14,55,44,56
night,36,47,27,97,43,57
evening,73,84,56,77,46,54
morning,90,58,66,59,60,40
morning,43,64,74,89,40,60
night,2,34,36,51,5,95
evening,77,90,68,53,46,54
night,7,11,59,33,38,62
afternoon,114,103,89,71,52,48
afternoon,65,42,41,12,60,40
night,40,36,86,40,52,48
evening,121,153,38,31,44,56
night,24,9,23,34,72,28
afternoon,162,43,98,62,79,21
afternoon,99,56,63,74,63,37
afternoon,132,106,70,40,55,45
evening,86,120,55,15,41,59
night,10,7,18,89,58,42
evening,163,159,19,64,50,50
night,2,23,21,96,8,92
night,37,24,66,98,60,40
evening,188,63,23,77,74,26
evening,192,119,72,96,61,39
evening,139,146,65,91,48,52
night,28,24,68,59,53,47
morning,74,46,80,76,61,39
afternoon,91,103,47,67,46,54
night,31,19,75,33,62,38
afternoon,167,94,84,69,63,37
afternoon,89,99,17,66,47,53
evening,78,77,77,19,50,50
afternoon,125,46,42,40,73,27
morning,85,115,35,98,42,58
night,40,29,63,21,57,43
night,15,38,54,79,28,72
night,42,17,24,58,71,29
morning,143,84,100,56,62,38
morning,95,32,65,58,74,26
night,17,15,19,46,53,47
night,9,12,80,58,42,58
afternoon,116,86,93,45,57,43
morning,102,62,10,15,62,38
evening,163,62,83,61,72,28
night,17,15,76,39,53,47
evening,142,129,87,79,52,48
night,4,44,92,83,8,92
morning,40,55,62,21,42,58
morning,75,83,73,75,47,53
evening,106,104,99,15,50,50
evening,154,88,85,43,63,37
night,28,50,13,81,35,65
night,31,15,63,44,67,33
evening,127,72,14,47,63,37
night,43,10,88,23,81,19
morning,89,79,54,80,52,48
morning,35,71,16,71,33,67
evening,87,95,14,65,47,53
evening,130,71,66,30,64,36
morning,42,90,26,46,31,69
afternoon,57,46,62,10,55,45
evening,148,161,93,75,47,53
morning,142,25,84,14,85,15
afternoon,158,137,32,83,53,47
night,48,27,96,82,64,36
night,49,50,88,53,49,51
night,34,16,22,43,68,32
afternoon,144,114,59,35,55,45
afternoon,108,40,94,70,72,28
afternoon,50,44,28,75,53,47
afternoon,55,90,99,21,37,63
night,36,14,79,59,72,28
afternoon,178,91,48,24,66,34
evening,116,77,24,26,60,40
afternoon,124,46,45,47,72,28
night,2,5,26,52,28,72
afternoon,159,111,12,100,58,42
night,21,26,30,94,44,56
evening,82,149,24,27,35,65
night,20,9,53,95,68,32
night,3,24,87,25,11,89
night,35,28,37,75,55,45
morning,86,100,55,70,46,54
morning,94,30,82,63,75,25
afternoon,77,138,66,25,35,65
evening,113,127,93,35,47,53
evening,118,60,15,53,66,34
evening,180,144,79,39,55,45
night,33,43,50,27,43,57
evening,166,179,34,75,48,52
morning,87,61,50,42,58,42
afternoon,56,113,18,91,33,67
morning,66,95,79,37,40,60
morning,44,87,14,87,33,67
afternoon,153,64,84,22,70,30
night,36,16,96,23,69,31
afternoon,97,58,52,11,62,38
afternoon,74,73,25,22,50,50
morning,42,115,96,23,26,74
night,10,19,29,14,34,66
evening,161,112,79,23,58,42
evening,186,107,55,37,63,37
evening,189,169,74,11,52,48
night,31,8,74,49,79,21
afternoon,174,45,67,14,79,21
afternoon,110,140,71,20,44,56
night,22,2,29,68,91,9
morning,145,26,24,88,84,16
morning,76,95,68,51,44,56
evening,177,142,24,81,55,45
night,24,3,60,70,88,12
night,33,17,28,87,66,34
evening,99,162,72,61,37,63
afternoon,65,101,15,14,39,61
night,44,1,70,19,97,3
morning,98,95,70,73,50,50
morning,134,41,76,43,76,24
morning,78,60,85,28,56,44
evening,161,114,84,83,58,42
night,29,15,32,66,65,35
afternoon,128,103,30,95,55,45
morning,33,115,46,82,22,78
morning,128,20,89,23,86,14
afternoon,53,85,82,74,38,62
evening,182,155,86,67,54,46
evening,173,106,29,81,62,38
morning,61,87,53,52,41,59
night,19,45,70,63,29,71
afternoon,127,81,77,37,61,39
night,19,30,33,33,38,62
night,27,21,99,32,56,44
evening,136,156,36,56,46,54
morning,55,110,89,50,33,67
morning,88,80,47,73,52,48
afternoon,118,54,95,32,68,32
afternoon,180,44,30,63,80,20
night,9,14,32,15,39,61
evening,155,166,29,19,48,52
night,44,8,20,93,84,16
afternoon,79,119,15,62,39,61
night,34,9,18,92,79,21
afternoon,170,88,73,15,65,35
night,13,26,94,99,33,67
morning,58,66,73,66,46,54
afternoon,163,124,29,89,56,44
afternoon,171,116,90,53,59,41
evening,155,123,33,88,55,45
morning,34,62,21,95,35,65
afternoon,84,116,37,60,42,58
morning,66,101,93,36,39,61
evening,169,62,77,99,73,27
evening,137,179,74,22,43,57
morning,138,28,46,19,83,17
morning,88,79,84,89,52,48
night,8,37,94,36,17,83
morning,51,72,71,95,41,59
afternoon,127,84,99,50,60,40
morning,139,41,30,57,77,23
afternoon,93,94,22,25,49,51
afternoon,137,45,45,58,75,25
morning,88,105,63,66,45,55
morning,77,31,19,50,71,29
evening,113,142,90,71,44,56
afternoon,136,129,93,91,51,49
evening,72,135,94,29,34,66
afternoon,133,120,86,35,52,48
evening,172,109,57,61,61,39
afternoon,96,62,67,67,60,40
afternoon,90,146,69,95,38,62
night,33,27,27,90,55,45
afternoon,74,71,94,58,51,49
evening,200,108,20,92,64,36
morning,147,29,60,15,83,17
evening,176,98,21,71,64,36
afternoon,61,57,31,88,51,49
evening,198,101,36,82,66,34
night,14,50,99,100,21,79
night,9,44,96,76,16,84
night,35,20,40,81,63,37
morning,36,30,18,23,54,46
afternoon,81,107,66,47,43,57
evening,91,148,83,71,38,62
night,36,26,37,88,58,42
night,14,20,86,17,41,59
evening,153,72,58,50,68,32
night,3,1,69,49,75,25
night,25,40,53,54,38,62
evening,176,134,33,59,56,44
morning,124,54,52,29,69,31
evening,119,134,34,93,47,53
night,8,13,67,61,38,62
evening,112,124,93,22,47,53
morning,81,87,91,80,48,52
evening,112,106,81,66,51,49
night,2,20,45,81,9,91
evening,184,79,62,32,69,31
morning,114,117,52,25,49,51
night,38,47,95,60,44,56
evening,166,112,59,67,59,41
evening,166,91,62,58,64,36
afternoon,109,85,89,31,56,44
evening,136,73,77,49,65,35
afternoon,173,122,37,37,58,42
morning,64,80,25,74,44,56
morning,50,114,49,12,30,70
afternoon,106,102,97,23,50,50
evening,165,165,20,35,50,50
evening,152,105,100,97,59,41
evening,192,169,92,66,53,47
afternoon,81,47,80,78,63,37
morning,35,49,40,49,41,59
morning,54,97,47,44,35,65
evening,200,167,73,11,54,46
night,26,28,48,85,48,52
afternoon,147,138,49,42,51,49
morning,50,109,21,46,31,69
afternoon,118,67,91,39,63,37
afternoon,90,82,62,45,52,48
evening,80,112,42,86,41,59
night,20,32,55,51,38,62
evening,98,177,99,63,35,65
morning,40,20,92,77,66,34
night,14,31,74,70,31,69
night,5,32,47,17,13,87
night,26,30,81,10,46,54
evening,107,133,93,38,44,56
afternoon,142,140,23,83,50,50
evening,98,143,25,97,40,60
evening,168,172,81,84,49,51
night,35,1,23,40,97,3
evening,171,67,42,49,71,29
night,33,47,29,63,41,59
night,9,38,57,93,19,81
night,32,31,91,48,50,50
morning,76,77,46,70,49,51
night,43,15,98,14,74,26
afternoon,170,86,27,52,66,34
evening,98,177,56,14,35,65
afternoon,79,73,49,78,51,49
afternoon,179,120,37,47,59,41
evening,98,116,90,90,45,55
evening,113,180,99,18,38,62
afternoon,62,63,33,93,49,51
evening,176,90,20,67,66,34
afternoon,165,90,30,49,64,36
night,2,42,19,47,4,96
afternoon,65,75,12,86,46,54
evening,142,65,51,40,68,32
afternoon,104,136,14,42,43,57
morning,74,51,51,52,59,41
night,11,48,43,62,18,82
evening,187,106,19,16,63,37
afternoon,68,40,83,46,62,38
night,5,49,97,10,9,91
evening,185,90,61,25,67,33
morning,96,76,21,99,55,45
morning,139,83,26,29,62,38
night,48,0,29,26,100,0
night,47,32,87,82,59,41
evening,109,63,86,86,63,37
afternoon,105,135,14,100,43,57
morning,97,55,72,76,63,37
night,3,34,56,80,8,92
morning,77,75,87,49,50,50
night,34,29,85,19,53,47
afternoon,75,143,82,88,34,66
afternoon,75,122,55,50,38,62
morning,80,112,75,94,41,59
evening,123,112,97,69,52,48
night,26,40,18,61,39,61
morning,105,59,100,66,64,36
morning,70,70,36,34,50,50
afternoon,60,102,72,81,37,63
night,5,15,61,31,25,75
night,41,2,69,28,95,5
morning,37,120,72,16,23,77
afternoon,174,143,64,91,54,46
night,47,26,99,90,64,36
afternoon,165,133,74,80,55,45
afternoon,50,109,54,63,31,69
afternoon,154,44,12,83,77,23
afternoon,107,85,18,15,55,45
morning,122,65,72,94,65,35
night,3,20,83,43,13,87
afternoon,51,113,65,90,31,69
morning,127,72,75,68,63,37
night,50,15,68,63,76,24
morning,105,45,28,29,70,30
evening,136,115,98,83,54,46
night,4,47,56,45,7,93
afternoon,121,91,35,15,57,43
afternoon,137,63,13,50,68,32
evening,168,137,44,82,55,45
evening,156,76,29,89,67,33
afternoon,110,113,66,62,49,51
evening,138,113,93,100,54,46
morning,61,40,82,92,60,40
night,33,45,12,50,42,58
morning,85,63,56,50,57,43
evening,96,135,10,73,41,59
night,16,8,72,98,66,34
night,33,43,61,23,43,57
night,41,2,99,59,95,5
morning,125,60,57,66,67,33
night,38,18,66,30,67,33
afternoon,174,144,61,31,54,46
morning,72,114,22,83,38,62
night,8,24,64,32,25,75
night,43,48,71,72,47,53
afternoon,115,137,12,65,45,55
morning,41,29,84,15,58,42
night,13,29,15,71,30,70
afternoon,62,68,41,79,47,53
night,47,4,95,76,92,8
afternoon,100,125,97,84,44,56
afternoon,75,100,64,72,42,58
afternoon,115,92,11,37,55,45
evening,152,116,69,85,56,44
night,7,13,29,100,35,65
evening,95,74,66,21,56,44
afternoon,108,144,26,50,42,58
night,9,13,59,61,40,60
morning,36,32,26,86,52,48
evening,134,120,82,41,52,48
afternoon,131,84,25,48,60,40
afternoon,55,100,85,81,35,65
afternoon,151,101,10,17,59,41
evening,148,120,20,25,55,45
afternoon,57,97,98,98,37,63
morning,76,75,14,81,50,50
afternoon,83,57,100,86,59,41
morning,124,56,33,25,68,32
night,7,43,96,93,14,86
night,6,36,90,55,14,86
evening,154,77,16,66,66,34
morning,109,98,48,25,52,48
morning,93,107,71,93,46,54
night,48,24,10,32,66,34
night,21,2,11,39,91,9
night,2,31,21,22,6,94
evening,179,138,56,77,56,44
night,16,30,60,38,34,66
afternoon,163,109,37,36,59,41
afternoon,148,96,85,49,60,40
evening,98,97,36,29,50,50
night,14,35,80,92,28,72
morning,84,71,66,29,54,46
night,25,12,27,81,67,33
night,33,48,50,97,40,60
afternoon,164,137,76,34,54,46
evening,194,147,79,92,56,44
evening,119,146,56,75,44,56
afternoon,147,79,35,91,65,35
afternoon,91,63,57,79,59,41
evening,140,109,71,55,56,44
morning,95,76,66,34,55,45
evening,95,143,54,80,39,61
night,3,25,49,33,10,90
afternoon,154,86,73,96,64,36
night,40,25,31,87,61,39
afternoon,119,68,69,64,63,37
evening,106,92,72,81,53,47
evening,145,173,32,39,45,55
afternoon,94,130,18,57,41,59
morning,127,43,44,72,74,26
night,25,45,41,15,35,65
afternoon,56,140,31,72,28,72
afternoon,77,41,85,45,65,35
evening,124,85,12,52,59,41
night,6,37,43,91,13,87
night,17,30,16,43,36,64
evening,117,172,51,92,40,60
afternoon,70,91,31,85,43,57
morning,148,30,93,43,83,17
afternoon,135,46,33,29,74,26
night,40,25,51,49,61,39
evening,191,101,25,44,65,35
evening,109,165,20,86,39,61
evening,111,68,45,95,62,38
afternoon,167,54,21,25,75,25
afternoon,87,126,33,29,40,60
afternoon,98,121,28,65,44,56
night,43,36,98,45,54,46
afternoon,152,104,97,100,59,41
morning,103,41,33,99,71,29
evening,195,125,10,44,60,40
morning,121,102,24,85,54,46
evening,145,135,84,41,51,49
night,48,11,44,91,81,19
morning,124,113,27,70,52,48
afternoon,96,112,17,82,46,54
morning,41,86,100,13,32,68
evening,156,109,75,86,58,42
evening,103,69,66,45,59,41
afternoon,107,83,82,77,56,44
night,34,6,80,76,85,15
night,21,31,19,93,40,60
afternoon,175,109,60,20,61,39
night,48,45,71,17,51,49
morning,74,78,24,68,48,52
evening,93,167,13,18,35,65
afternoon,157,67,37,100,70,30
morning,37,57,88,87,39,61
night,2,3,29,35,40,60
night,47,45,91,41,51,49
afternoon,56,41,96,55,57,43
afternoon,90,120,59,90,42,58
night,17,22,13,63,43,57
afternoon,173,135,46,79,56,44
evening,120,144,57,75,45,55
night,23,8,77,71,74,26
night,46,46,31,40,50,50
afternoon,74,85,36,12,46,54
evening,164,110,31,68,59,41
morning,133,106,44,84,55,45
evening,86,75,78,65,53,47
morning,35,70,72,98,33,67
afternoon,165,55,74,65,75,25
morning,96,67,28,23,58,42
afternoon,71,122,79,76,36,64
evening,176,110,89,91,61,39
afternoon,50,102,63,19,32,68
morning,78,80,82,70,49,51
night,11,20,76,91,35,65
morning,73,22,18,50,76,24
morning,51,100,80,53,33,67
evening,92,101,61,43,47,53
evening,103,111,41,75,48,52
morning,68,59,55,54,53,47
evening,196,73,90,80,72,28
night,1,28,81,36,3,97
night,12,41,45,19,22,78
morning,61,34,28,90,64,36
morning,80,60,74,65,57,43
afternoon,174,64,80,81,73,27
afternoon,77,131,85,38,37,63
evening,82,91,71,22,47,53
afternoon,170,67,65,68,71,29
evening,109,106,92,72,50,50
evening,128,151,64,64,45,55
night,9,13,28,89,40,60
night,4,46,63,37,8,92
evening,110,105,41,86,51,49
morning,34,76,100,13,30,70
evening,98,149,24,87,39,61
evening,178,151,19,16,54,46
evening,88,64,63,71,57,43
morning,112,63,17,65,64,36
night,16,8,20,43,66,34
evening,76,149,69,27,33,67
morning,75,27,54,53,73,27
night,46,0,64,38,100,0
evening,87,65,49,80,57,43
night,7,4,71,55,63,37
morning,93,114,46,91,44,56
afternoon,106,144,21,12,42,58
night,26,17,74,75,60,40
night,22,36,86,77,37,63
night,27,16,52,17,62,38
evening,125,116,59,82,51,49
evening,117,151,32,44,43,57
night,15,8,79,50,65,35
morning,141,20,53,77,87,13
afternoon,167,126,90,50,56,44
afternoon,82,135,76,13,37,63
morning,95,77,73,51,55,45
evening,199,68,86,71,74,26
evening,163,180,59,88,47,53
afternoon,130,123,77,54,51,49
night,3,50,97,75,5,95
evening,174,82,10,24,67,33
afternoon,130,109,18,98,54,46
evening,75,68,30,20,52,48
morning,31,35,34,87,46,54
evening,144,110,35,96,56,44
afternoon,154,114,62,56,57,43
evening,146,171,59,45,46,54
afternoon,163,98,83,34,62,38
morning,120,53,73,74,69,31
afternoon,78,68,50,87,53,47
morning,38,20,46,21,65,35
afternoon,71,89,89,68,44,56
evening,88,133,89,55,39,61
night,21,47,27,56,30,70
night,11,50,30,25,18,82
night,37,16,74,68,69,31
night,46,23,73,16,66,34
night,41,20,26,56,67,33
night,34,43,97,81,44,56
morning,150,78,35,40,65,35
afternoon,145,71,75,34,67,33
morning,85,68,55,15,55,45
morning,41,21,31,65,66,34
afternoon,95,62,64,75,60,40
afternoon,71,48,74,98,59,41
night,27,38,38,83,41,59
morning,99,44,50,34,69,31
afternoon,111,64,41,84,63,37
night,43,16,68,53,72,28
morning,86,96,66,13,47,53
morning,63,84,71,100,42,58
evening,180,133,90,42,57,43
afternoon,170,117,29,92,59,41
evening,89,83,31,44,51,49
afternoon,92,71,45,54,56,44
night,8,29,92,26,21,79
night,17,38,45,67,30,70
evening,119,140,98,30,45,55
night,47,41,81,62,53,47
afternoon,137,42,80,56,76,24
night,45,7,10,55,86,14
morning,83,112,56,35,42,58
morning,81,107,52,19,43,57
afternoon,115,72,55,41,61,39
afternoon,159,127,48,48,55,45
afternoon,175,137,75,24,56,44
afternoon,155,124,80,91,55,45
afternoon,171,146,95,34,53,47
morning,36,97,75,76,27,73
afternoon,111,143,86,77,43,57
afternoon,71,145,73,69,32,68
night,18,39,95,90,31,69
morning,59,31,75,72,65,35
night,15,28,74,77,34,66
evening,115,61,92,55,65,35
evening,136,79,84,91,63,37
evening,197,119,83,83,62,38
night,45,32,30,82,58,42
evening,133,130,87,51,50,50
afternoon,58,150,58,24,27,73
evening,115,169,91,41,40,60
afternoon,79,95,56,19,45,55
morning,66,27,80,76,70,30
morning,111,73,59,30,60,40
night,40,10,38,35,80,20
night,19,35,84,91,35,65
afternoon,124,91,89,82,57,43
night,10,31,53,61,24,76
afternoon,123,54,16,68,69,31
morning,84,64,38,24,56,44
evening,93,84,59,48,52,48
morning,118,81,19,94,59,41
afternoon,166,84,42,41,66,34
night,20,22,46,81,47,53
afternoon,131,68,15,14,65,35
evening,197,148,63,18,57,43
evening,100,175,90,27,36,64
evening,116,162,88,33,41,59
morning,114,33,51,86,77,23
night,11,18,44,22,37,63
evening,87,130,73,97,40,60
night,43,37,41,96,53,47
afternoon,139,139,86,11,50,50
morning,35,118,18,75,22,78
evening,103,171,38,99,37,63
afternoon,135,97,58,79,58,42
night,25,15,74,34,62,38
evening,77,107,99,82,41,59
morning,97,80,66,72,54,46
morning,124,55,74,52,69,31
night,31,20,14,80,60,40
night,7,6,47,19,53,47
evening,106,74,49,86,58,42
morning,97,67,40,41,59,41
morning,81,42,38,11,65,35
morning,132,37,33,79,78,22
afternoon,116,80,86,67,59,41
morning,51,92,97,95,35,65
afternoon,177,55,68,74,76,24
night,21,43,38,46,32,68
morning,145,71,36,14,67,33
afternoon,86,122,81,94,41,59
morning,35,69,22,19,33,67
morning,82,101,10,69,44,56
evening,151,162,31,24,48,52
afternoon,105,122,79,21,46,54
evening,166,178,16,35,48,52
night,41,4,33,96,91,9
night,40,37,32,42,51,49
afternoon,176,116,90,82,60,40
evening,109,134,99,46,44,56
morning,125,82,19,97,60,40
afternoon,154,69,18,76,69,31
afternoon,94,140,80,98,40,60
night,17,50,24,13,25,75
night,19,33,87,30,36,64
afternoon,76,146,92,33,34,66
afternoon,150,150,97,28,50,50
afternoon,180,133,71,80,57,43
night,25,0,57,34,100,0
night,46,32,46,36,58,42
afternoon,171,123,65,69,58,42
afternoon,111,71,47,48,60,40
afternoon,81,50,28,38,61,39
night,5,25,35,68,16,84
night,37,8,51,28,82,18
afternoon,108,128,41,47,45,55
night,18,18,89,71,50,50
evening,161,180,27,97,47,53
afternoon,65,119,39,28,35,65
night,50,32,55,28,60,40
morning,44,80,89,14,35,65
night,28,3,30,23,90,10
morning,84,41,64,34,67,33
afternoon,166,114,58,38,59,41
evening,113,88,22,19,56,44
afternoon,59,127,14,57,31,69
night,10,20,35,75,33,67
night,23,20,39,20,53,47
morning,97,30,66,59,76,24
evening,102,105,15,66,49,51
afternoon,143,107,32,45,57,43
evening,121,180,21,54,40,60
morning,87,73,16,83,54,46
morning,149,30,91,70,83,17
afternoon,154,129,61,34,54,46
evening,101,90,49,96,52,48
evening,167,137,85,85,54,46
evening,142,149,25,90,48,52
night,47,35,33,53,57,43
afternoon,105,56,55,98,65,35
afternoon,112,119,21,31,48,52
evening,154,165,49,10,48,52
morning,104,32,89,59,76,24
evening,99,132,96,51,42,58
evening,127,134,16,85,48,52
night,40,43,65,87,48,52
night,34,6,91,43,85,15
evening,162,110,26,87,59,41
afternoon,158,77,23,15,67,33
afternoon,52,62,18,89,45,55
evening,161,118,25,95,57,43
morning,136,49,77,15,73,27
morning,112,75,13,19,59,41
afternoon,155,78,87,61,66,34
afternoon,147,48,38,22,75,25
afternoon,146,74,86,95,66,34
night,24,18,43,68,57,43
afternoon,59,71,29,91,45,55
afternoon,180,121,10,83,59,41
evening,192,179,44,60,51,49
afternoon,87,125,25,86,41,59
afternoon,151,43,88,68,77,23
morning,88,101,80,18,46,54
night,23,48,92,56,32,68
evening,177,72,92,66,71,29
morning,89,117,35,73,43,57
evening,165,102,53,57,61,39
afternoon,112,45,97,54,71,29
night,25,33,23,81,43,57
evening,135,104,92,47,56,44
afternoon,128,136,57,76,48,52
night,8,41,66,73,16,84
afternoon,128,57,64,26,69,31
evening,183,131,81,94,58,42
morning,50,38,58,16,56,44
afternoon,165,47,96,17,77,23
evening,90,159,57,21,36,64
morning,52,76,79,87,40,60
afternoon,146,88,81,87,62,38
afternoon,162,70,47,67,69,31
afternoon,97,146,13,48,39,61
morning,91,48,65,32,65,35
night,28,30,77,40,48,52
evening,76,174,70,74,30,70
morning,54,49,36,97,52,48
evening,137,154,33,83,47,53
night,17,42,97,65,28,72
afternoon,100,69,87,39,59,41
evening,180,68,60,16,72,28
night,29,34,75,75,46,54
evening,192,150,98,48,56,44
evening,75,121,48,40,38,62
night,16,39,14,94,29,71
night,35,34,26,63,50,50
night,12,14,33,82,46,54
morning,40,58,27,87,40,60
morning,57,42,73,21,57,43
night,3,40,70,61,6,94
evening,176,87,55,56,66,34
evening,104,165,80,66,38,62
afternoon,74,135,16,51,35,65
night,27,8,21,97,77,23
night,27,2,38,57,93,7
morning,62,57,71,18,52,48
morning,97,22,34,29,81,19
morning,99,44,10,18,69,31
afternoon,54,47,39,62,53,47
night,26,17,14,28,60,40
evening,135,65,80,30,67,33
night,35,42,53,57,45,55
morning,56,85,81,41,39,61
afternoon,93,122,13,72,43,57
afternoon,149,95,92,92,61,39
afternoon,67,111,70,94,37,63
night,15,24,85,42,38,62
morning,70,75,21,74,48,52
morning,72,27,12,94,72,28
night,17,45,33,60,27,73
evening,81,164,58,35,33,67
night,43,22,36,72,66,34
evening,92,171,82,43,34,66
afternoon,175,58,38,81,75,25
night,46,9,57,74,83,17
morning,53,118,64,85,30,70
afternoon,93,45,72,97,67,33
morning,140,114,39,45,55,45
evening,163,133,52,82,55,45
night,28,8,78,47,77,23
night,42,23,74,53,64,36
afternoon,175,112,55,53,60,40
evening,176,145,59,44,54,46
night,24,4,58,74,85,15
night,26,49,77,16,34,66
afternoon,110,148,85,64,42,58
night,33,31,59,74,51,49
morning,88,23,14,84,79,21
evening,194,118,75,88,62,38
morning,115,89,13,51,56,44
morning,126,20,84,42,86,14
morning,99,115,96,22,46,54
evening,92,166,60,85,35,65
night,50,38,61,82,56,44
morning,104,34,60,62,75,25
afternoon,179,58,47,64,75,25
evening,71,75,55,97,48,52
night,17,31,98,80,35,65
afternoon,163,103,90,56,61,39
afternoon,145,98,73,15,59,41
afternoon,93,93,83,70,50,50
afternoon,115,130,39,16,46,54
evening,141,147,28,59,48,52
evening,177,148,48,74,54,46
morning,56,26,88,62,68,32
night,8,12,17,62,40,60
evening,123,178,67,31,40,60
evening,149,133,98,78,52,48
evening,145,167,26,80,46,54
night,30,36,81,78,45,55
evening,152,138,94,10,52,48
afternoon,97,63,12,73,60,40
afternoon,107,66,21,15,61,39
afternoon,164,40,14,49,80,20
night,11,38,42,63,22,78
evening,99,109,15,32,47,53
morning,121,29,84,57,80,20
evening,129,68,24,10,65,35
afternoon,114,101,100,65,53,47
afternoon,73,48,82,98,60,40
afternoon,157,68,61,72,69,31
morning,59,73,23,25,44,56
evening,132,154,56,80,46,54
evening,196,84,79,84,70,30
evening,161,150,76,13,51,49
afternoon,77,76,35,36,50,50
afternoon,151,45,67,45,77,23
night,38,37,80,36,50,50
afternoon,158,89,63,23,63,37
afternoon,91,145,100,56,38,62
afternoon,129,86,29,58,60,40
evening,146,131,24,83,52,48
afternoon,60,99,100,14,37,63
morning,53,79,64,43,40,60
night,37,33,60,31,52,48
morning,136,57,92,96,70,30
night,21,30,92,98,41,59
evening,147,124,99,79,54,46
night,48,10,91,85,82,18
evening,184,65,47,83,73,27
morning,65,37,95,29,63,37
afternoon,174,48,15,16,78,22
morning,115,65,26,55,63,37
night,41,49,42,29,45,55
morning,83,110,14,92,43,57
evening,87,100,40,76,46,54
afternoon,97,52,29,19,65,35
night,22,6,35,29,78,22
morning,130,70,34,31,65,35
night,5,41,58,54,10,90
evening,82,153,16,12,34,66
afternoon,84,132,91,30,38,62
morning,89,76,53,44,53,47
morning,127,92,82,82,57,43
morning,118,37,32,41,76,24
afternoon,88,128,66,92,40,60
morning,54,37,34,84,59,41
night,1,40,69,39,2,98
evening,183,66,88,58,73,27
morning,104,95,99,97,52,48
evening,181,79,69,97,69,31
evening,99,119,74,19,45,55
night,5,18,33,41,21,79
evening,165,163,85,84,50,50
morning,65,79,18,37,45,55
evening,129,140,66,23,47,53
evening,102,67,48,19,60,40
morning,134,92,25,70,59,41
evening,73,168,100,68,30,70
morning,145,91,93,32,61,39
afternoon,174,146,29,71,54,46
morning,56,37,88,21,60,40
evening,100,133,85,31,42,58
morning,73,53,75,57,57,43
morning,36,32,89,73,52,48
morning,70,112,41,90,38,62
night,33,40,92,34,45,55
evening,115,123,83,23,48,52
morning,88,62,89,63,58,42
evening,84,146,91,88,36,64
afternoon,70,54,20,72,56,44
morning,105,37,17,32,73,27
night,45,24,23,34,65,35
night,30,20,56,57,60,40
evening,174,139,45,49,55,45
morning,66,40,95,10,62,38
evening,177,102,54,51,63,37
evening,120,121,99,96,49,51
evening,90,123,88,36,42,58
afternoon,110,51,30,87,68,32
afternoon,61,56,97,54,52,48
morning,46,41,61,46,52,48
morning,65,102,33,98,38,62
afternoon,120,54,57,97,68,32
evening,169,98,34,23,63,37
evening,107,71,87,71,60,40
afternoon,67,43,42,76,60,40
night,33,22,74,26,60,40
night,6,42,82,54,12,88
morning,64,37,15,43,63,37
night,12,13,11,88,48,52
